# Object,[Fe/H],[Ca/H]
SAGA_For_000432,-0.58,
SAGA_For_000432,-0.73,-1.13
SAGA_For_000435,-0.77,
SAGA_For_000435,-0.99,-1.38
SAGA_For_000437,-0.5,-0.89
SAGA_For_000437,,
SAGA_For_000437,-0.48,
SAGA_For_000437,-0.68,-0.79
SAGA_For_000440,-0.88,-1.12
SAGA_For_000440,-0.91,-1.19
SAGA_For_000440,-0.89,
SAGA_For_000442,-0.58,
SAGA_For_000442,-0.82,-0.89
SAGA_For_000447,-0.6,-0.81
SAGA_For_000447,,
SAGA_For_000447,-0.53,
SAGA_For_000451,,
SAGA_For_000451,-0.56,
SAGA_For_000451,-0.82,-1.15
SAGA_For_000452,-0.87,
SAGA_For_000452,-0.7,-1.07
SAGA_For_000453,-0.76,-1.08
SAGA_For_000453,-0.86,-1.14
SAGA_For_000453,-0.41,
SAGA_For_000461,-0.28,
SAGA_For_000461,-0.59,-0.91
SAGA_For_000464,-0.78,-1.15
SAGA_For_000464,,
SAGA_For_000464,-0.89,
SAGA_For_000468,-0.78,
SAGA_For_000468,-0.76,-1.13
SAGA_For_000469,-0.86,-1.31
SAGA_For_000469,-0.89,-1.28
SAGA_For_000469,-0.91,
SAGA_For_000471,,
SAGA_For_000471,-0.8,
SAGA_For_000471,-0.97,-0.78
SAGA_For_000472,-0.51,
SAGA_For_000472,-0.57,-1.09
SAGA_For_000474,-1,-1.13
SAGA_For_000474,-0.93,
SAGA_For_000475,-0.99,-1.24
SAGA_For_000475,-0.97,-1.18
SAGA_For_000475,-1.03,
SAGA_For_000478,-0.86,-1.15
SAGA_For_000478,-0.87,-1.14
SAGA_For_000478,-1.02,
SAGA_For_000481,-0.69,-0.92
SAGA_For_000481,-0.78,-0.89
SAGA_For_000481,-0.47,
SAGA_For_000483,-0.92,
SAGA_For_000483,-0.86,-1.27
SAGA_For_000489,-1.44,-1.4
SAGA_For_000489,-1.43,-1.5
SAGA_For_000489,-1.71,
SAGA_For_000659,-3.66,-3.13
SAGA_For_000659,-2.61,
SAGA_For_000689,-0.69,-1.09
SAGA_For_000689,-0.79,-1.2
SAGA_For_000690,-0.74,-0.9
SAGA_For_000690,-0.73,-0.92
SAGA_For_000691,-0.86,-1.09
SAGA_For_000691,-0.86,-1.09
SAGA_For_000692,-0.9,-1.08
SAGA_For_000692,-0.89,-1.1
SAGA_For_000693,-0.87,-1.06
SAGA_For_000693,-0.86,-1.1
SAGA_For_000693,-0.98,-1.28
SAGA_For_000694,-0.8,-1.06
SAGA_For_000694,-0.83,-0.99
SAGA_For_000694,-0.8,-1.06
SAGA_For_000695,-0.88,-1.16
SAGA_For_000695,-0.82,-1.13
SAGA_For_000696,-0.85,-1.22
SAGA_For_000696,-0.89,-1.29
SAGA_For_000696,-0.84,-1.2
SAGA_For_000697,-0.72,-0.76
SAGA_For_000697,-0.72,-0.86
SAGA_For_000698,-2.65,-2.27
SAGA_For_000698,-2.6,-2.23
SAGA_For_000699,-0.95,-1.04
SAGA_For_000699,-0.96,-1.09
SAGA_For_000700,-0.93,-1.13
SAGA_For_000700,-0.95,-1.16
SAGA_For_000701,-0.79,-1.21
SAGA_For_000701,-0.79,-1.23
SAGA_For_000707,-0.61,-1.31
SAGA_For_000708,-0.49,-0.35
SAGA_For_000710,-0.94,-0.97
SAGA_For_000712,-1.03,-0.8
SAGA_For_000713,-0.52,-0.1
SAGA_For_000714,-0.95,-0.5
SAGA_For_000716,-0.5,0.52
SAGA_For_000717,-1.03,-0.67
SAGA_For_000718,-0.79,-0.67
SAGA_For_000719,-0.67,-1.1
SAGA_For_000721,-0.79,-0.8
SAGA_For_000723,-0.91,-0.92
SAGA_For_000729,-0.94,-1.41
SAGA_For_000730,-0.4,-0.62
SAGA_For_000732,-0.95,-0.54
SAGA_For_000733,-1.32,-1.3
SAGA_For_000735,-0.51,-0.16
SAGA_For_000738,-0.62,-0.18
SAGA_For_000739,-0.29,0.04
SAGA_For_000740,-0.68,-1.13
SAGA_For_000741,-1.1,-1.68
SAGA_For_000744,-0.81,-0.86
SAGA_For_000748,-0.73,-0.68
SAGA_For_000749,-0.99,-0.8
SAGA_For_000751,-1.16,-1.81
SAGA_For_000752,-0.99,-1.02
SAGA_For_000753,-2,-2.06
SAGA_For_000754,-1.01,-1.17
SAGA_For_000755,-0.76,-0.7
SAGA_For_000756,-1.97,-1.69
SAGA_For_000757,-1.1,-1.35
SAGA_For_000758,-0.9,-0.56
SAGA_For_000760,-0.09,-0.22
SAGA_For_000761,-0.92,-0.77
SAGA_For_000762,-1.59,-2.49
SAGA_For_000763,-0.43,-1.16
SAGA_For_000765,-0.86,
SAGA_For_000765,-0.69,-0.97
SAGA_For_000767,-1.09,-0.46
SAGA_For_000768,-0.84,-0.84
SAGA_For_000769,-0.85,-0.75
SAGA_For_000770,-0.98,-1.61
SAGA_For_000771,-1.27,-1.8
SAGA_For_000773,-0.38,-0.19
SAGA_For_000774,-0.54,-0.71
SAGA_For_000775,-0.54,0.12
SAGA_For_000776,-0.79,-0.96
SAGA_For_000777,-1.36,-0.8
SAGA_For_000778,-0.94,-1.05
SAGA_For_000779,-0.97,-1.31
SAGA_For_000780,-0.94,-1.19
SAGA_For_000780,-0.7,-0.9
SAGA_For_000784,-0.87,-1.23
SAGA_For_000785,-0.89,-0.98
SAGA_For_000786,-0.76,-0.71
SAGA_For_000787,-0.53,-0.86
SAGA_For_000788,-0.68,-0.56
SAGA_For_000789,-0.96,-1.76
SAGA_For_000790,-0.61,-0.46
SAGA_For_000791,-1.96,-2.13
SAGA_For_000792,-1.04,-1.19
SAGA_For_000794,-0.28,-0.5
SAGA_For_000795,-0.91,-0.87
SAGA_For_000796,-0.74,-0.89
SAGA_For_000797,-0.76,-0.71
SAGA_For_000799,-0.7,-0.63
SAGA_For_000800,-0.68,-0.55
SAGA_For_000802,-0.39,-0.3
SAGA_For_000803,-0.84,
SAGA_For_000803,-0.7,-0.46
SAGA_For_000803,-0.83,
SAGA_For_000805,-1.17,
SAGA_For_000805,-0.92,-0.96
SAGA_For_000805,-1.17,
SAGA_For_000807,-1.04,-0.99
SAGA_For_000808,-1.1,
SAGA_For_000808,-0.88,-1.13
SAGA_For_000810,-1.3,
SAGA_For_000810,-1.11,-0.87
SAGA_For_000811,-1.12,
SAGA_For_000811,-0.87,-1.24
SAGA_For_000812,-1.11,-1.32
SAGA_For_000813,-1.09,-1.38
SAGA_For_000816,-0.83,-1.33
SAGA_For_000818,-1.65,-0.92
SAGA_For_000819,-0.59,-0.53
SAGA_For_000821,-0.63,-0.98
SAGA_For_000822,-0.76,-0.61
SAGA_For_000823,-0.8,-0.86
SAGA_For_000824,-2.08,-1.86
SAGA_For_000825,-0.41,-0.71
SAGA_For_000826,-0.91,
SAGA_For_000826,-0.67,-1.39
SAGA_For_000827,-0.84,-0.91
SAGA_For_000828,-1.03,-1.26
SAGA_For_000829,-0.79,-0.32
SAGA_For_000831,-0.78,
SAGA_For_000831,-0.73,-1.15
SAGA_For_000833,-0.99,-0.45
SAGA_For_000834,-1.13,
SAGA_For_000834,-0.86,-0.77
SAGA_For_000835,-0.82,
SAGA_For_000835,-0.51,-0.36
SAGA_For_000837,-0.62,-1.1
SAGA_For_000838,-0.89,
SAGA_For_000838,-0.65,-0.91
SAGA_For_000838,-0.88,
SAGA_For_000839,-1.33,-1.81
SAGA_For_000841,-1.08,
SAGA_For_000841,-0.87,-0.75
SAGA_For_000842,-0.92,
SAGA_For_000842,-0.74,-1.6
SAGA_For_000842,-0.91,
SAGA_For_000843,-2.63,-1.58
SAGA_For_000844,-0.77,-0.74
SAGA_For_000845,-1.28,-1.53
SAGA_For_000846,-0.89,
SAGA_For_000846,-0.62,-0.92
SAGA_For_000846,-0.89,
SAGA_For_000847,-0.9,-1.14
SAGA_For_000848,-0.61,-0.06
SAGA_For_000849,-0.56,-0.5
SAGA_For_000850,-0.79,
SAGA_For_000850,-0.55,-0.89
SAGA_For_000851,-0.87,-0.95
SAGA_For_000852,-0.86,
SAGA_For_000852,-0.71,-0.56
SAGA_For_000853,-1.43,
SAGA_For_000853,-1.21,-1.31
SAGA_For_000855,-0.54,-1.35
SAGA_For_000858,-0.77,
SAGA_For_000858,-0.68,
SAGA_For_000858,-0.51,-1.17
SAGA_For_000858,-0.76,
SAGA_For_000859,-0.74,-0.43
SAGA_For_000862,-0.9,-0.47
SAGA_For_000864,-1.31,-1.46
SAGA_For_000865,-0.66,-0.73
SAGA_For_000866,-1.07,-1.84
SAGA_For_000867,-0.92,-1.51
SAGA_For_000868,-0.83,-0.86
SAGA_For_000869,-0.5,-0.98
SAGA_For_000872,-1.42,-1.3
SAGA_For_000873,-1.36,-0.5
SAGA_For_000874,-1.09,
SAGA_For_000874,-0.91,-1.43
SAGA_For_000875,-0.87,-1.49
SAGA_For_000877,-0.67,-0.92
SAGA_For_000879,-0.71,-1.07
SAGA_For_000880,-0.6,0.01
SAGA_For_000881,-0.41,-1.08
SAGA_For_000882,-0.63,-0.55
SAGA_For_000883,-0.52,-0.74
SAGA_For_000885,-0.87,-0.81
SAGA_For_000886,-1.03,-1.82
SAGA_For_000888,-0.61,-0.78
SAGA_For_000889,-0.25,-0.19
SAGA_For_000890,-1.53,-1.66
SAGA_For_000892,-0.8,-1.18
SAGA_For_000893,-0.93,
SAGA_For_000893,-0.75,-1.23
SAGA_For_000894,-0.78,-0.89
SAGA_For_000895,-1.49,
SAGA_For_000895,-1.29,-1.64
SAGA_For_000895,-1.49,
SAGA_For_000896,-0.96,-1.09
SAGA_For_000897,-1.27,-0.98
SAGA_For_000898,-0.92,-0.98
SAGA_For_000899,-1.29,-0.54
SAGA_For_000901,-0.95,-0.89
SAGA_For_000902,-1.14,-2.03
SAGA_For_000903,-1.03,-1.52
SAGA_For_000906,-1.96,-1.6
SAGA_For_000907,-1.07,-1.14
SAGA_For_000908,-0.89,-1.18
SAGA_For_000909,-0.99,-1.11
SAGA_For_000910,-0.79,-1.04
SAGA_For_000911,-0.82,-1.45
SAGA_For_000912,-0.79,-1.04
SAGA_For_000913,-0.99,-0.94
SAGA_For_000915,-1.05,-0.04
SAGA_For_000918,-0.86,-0.91
SAGA_For_000919,-0.48,-1.36
SAGA_For_000920,-0.64,-0.73
SAGA_For_000921,-0.81,-0.42
SAGA_For_000922,-0.68,-0.25
SAGA_For_000923,-0.99,-1.24
SAGA_For_000924,-0.73,-1.46
SAGA_For_000925,-0.78,-0.81
SAGA_For_000926,-0.84,-1.06
SAGA_For_000927,-1.09,
SAGA_For_000927,-0.86,-1.18
SAGA_For_000927,-1.08,
SAGA_For_000928,-2.25,-1.76
SAGA_For_000929,-0.4,-0.97
SAGA_For_000930,-0.73,-1.07
SAGA_For_000931,-1.63,-0.84
SAGA_For_000933,-1.14,
SAGA_For_000933,-0.89,-1.3
SAGA_For_000933,-1.13,
SAGA_For_000934,-0.82,-0.97
SAGA_For_000935,-0.46,-0.67
SAGA_For_000937,-1.09,
SAGA_For_000937,-0.89,-1.11
SAGA_For_000938,-1.03,-1.46
SAGA_For_000939,-0.67,-1.12
SAGA_For_000940,-1.48,-1.67
SAGA_For_000941,-0.81,-1.01
SAGA_For_000941,-0.82,-1.38
SAGA_For_000943,-0.91,-1.35
SAGA_For_000946,-0.61,-0.77
SAGA_For_000947,-0.87,-1.11
SAGA_For_000948,-0.59,-0.58
SAGA_For_000949,-0.75,-0.26
SAGA_For_000950,-0.93,-1.08
SAGA_For_000951,-0.61,-1.05
SAGA_For_000952,-0.42,-0.56
SAGA_For_000953,-1.06,
SAGA_For_000953,-0.81,-0.96
SAGA_For_000955,-0.83,
SAGA_For_000955,-0.55,-0.77
SAGA_For_000956,-1.05,-1.69
SAGA_For_000957,-0.65,0.01
SAGA_For_000960,-1,-0.55
SAGA_For_000961,-0.53,-0.94
SAGA_For_000962,-0.29,-0.89
SAGA_For_000963,-0.78,-1.01
SAGA_For_000964,-0.52,-1.1
SAGA_For_000965,-0.68,-0.93
SAGA_For_000966,-0.62,-0.28
SAGA_For_000968,-1.07,-0.77
SAGA_For_000969,-0.94,-0.97
SAGA_For_000970,-0.93,-0.54
SAGA_For_000971,-0.59,0.29
SAGA_For_000972,-1.11,-1.23
SAGA_For_000974,-0.85,-0.85
SAGA_For_000975,-0.58,-0.86
SAGA_For_000975,-0.47,-1.22
SAGA_For_000976,-0.78,-1.3
SAGA_For_000977,-1.65,-0.84
SAGA_For_000978,-0.7,
SAGA_For_000978,-0.4,-0.93
SAGA_For_000979,-1.25,-0.3
SAGA_For_000980,-0.67,-0.79
SAGA_For_000981,-0.67,-1.17
SAGA_For_000982,-0.38,-0.73
SAGA_For_000983,-0.59,-0.7
SAGA_For_000984,-0.77,0.1
SAGA_For_000985,-0.76,-1.08
SAGA_For_000987,-0.82,0
SAGA_For_000988,-0.49,-0.71
SAGA_For_000989,-0.81,
SAGA_For_000989,-0.52,-0.7
SAGA_For_000990,-0.86,-1.13
SAGA_For_000991,-0.88,-0.74
SAGA_For_000992,-0.62,-0.66
SAGA_For_000993,-0.84,-0.62
SAGA_For_000994,-1.38,-1.65
SAGA_For_000995,-0.54,-0.93
SAGA_For_000996,-0.65,-0.4
SAGA_For_000997,-0.88,-0.14
SAGA_For_000998,-0.45,-0.35
SAGA_For_000999,-1.12,
SAGA_For_000999,-0.93,-1.55
SAGA_For_000999,-1.11,
SAGA_For_001000,-0.66,-0.43
SAGA_For_001001,-0.9,-1.14
SAGA_For_001002,-0.64,-0.54
SAGA_For_001003,-0.76,-0.72
SAGA_For_001004,-0.56,-0.26
SAGA_For_001005,-0.59,-1.2
SAGA_For_001006,-1.09,-1.37
SAGA_For_001007,-1.09,
SAGA_For_001007,-0.84,-1.06
SAGA_For_001007,-1.09,
SAGA_For_001008,-0.43,-0.28
SAGA_For_001010,-1.15,-0.48
SAGA_For_001011,-0.66,-0.69
SAGA_For_001013,-0.92,-1.02
SAGA_For_001014,-0.93,-0.47
SAGA_For_001015,-0.81,-1.22
SAGA_For_001016,-0.8,
SAGA_For_001016,-0.58,-0.67
SAGA_For_001017,-0.65,-0.9
SAGA_For_001018,-0.71,-1.1
SAGA_For_001019,-0.79,-1.54
SAGA_For_001021,-1.05,-0.89
SAGA_For_001022,-1.04,-1.24
SAGA_For_001024,-1.06,-1.35
SAGA_For_001025,-0.7,-0.95
SAGA_For_001026,-0.99,-1.32
SAGA_For_001027,-0.52,-0.93
SAGA_For_001028,-1.15,
SAGA_For_001028,-0.89,-1.5
SAGA_For_001029,-0.97,-1.32
SAGA_For_001030,-1.48,-1.3
SAGA_For_001031,-0.81,-0.41
SAGA_For_001032,-0.97,-1.25
SAGA_For_001033,-0.92,-1.12
SAGA_For_001034,-0.59,-0.68
SAGA_For_001035,-0.92,-1.11
SAGA_For_001037,-0.7,
SAGA_For_001037,-0.43,-0.33
SAGA_For_001038,-0.98,-0.83
SAGA_For_001039,-0.42,0.36
SAGA_For_001040,-0.7,
SAGA_For_001040,,
SAGA_For_001040,-0.38,-0.77
SAGA_For_001040,-0.7,
SAGA_For_001041,-0.52,-0.53
SAGA_For_001042,-0.88,
SAGA_For_001042,-0.6,-1.43
SAGA_For_001042,-0.87,
SAGA_For_001043,-1.71,
SAGA_For_001043,-1.44,-1.6
SAGA_For_001043,-1.53,-1.78
SAGA_For_001043,-1.7,
SAGA_For_001044,-0.66,-0.85
SAGA_For_001045,-0.76,
SAGA_For_001045,-0.47,-0.56
SAGA_For_001046,-0.88,-1.09
SAGA_For_001047,-0.88,-1.31
SAGA_For_001049,-1.05,
SAGA_For_001049,-0.82,-1.11
SAGA_For_001050,-1.03,
SAGA_For_001050,-0.87,-1.08
SAGA_For_001050,-0.8,-1.33
SAGA_For_001050,-1.03,
SAGA_For_001052,-0.99,-1.24
SAGA_For_001053,-1.14,
SAGA_For_001053,-0.87,-1.39
SAGA_For_001053,-1.13,
SAGA_For_001054,-0.87,-1.37
SAGA_For_001055,-2.21,
SAGA_For_001055,-2.04,-2.5
SAGA_For_001058,-0.67,-0.93
SAGA_For_001059,-0.53,-0.9
SAGA_For_001060,-0.91,-1.3
SAGA_For_001061,-0.59,-0.3
SAGA_For_001063,-0.73,-1.22
SAGA_For_001064,-0.88,-1.22
SAGA_For_001065,-0.58,-0.29
SAGA_For_001066,-0.79,-0.84
SAGA_For_001067,-0.78,-0.87
SAGA_For_001068,-1.13,
SAGA_For_001068,-0.88,-1.23
SAGA_For_001068,-1.12,
SAGA_For_001069,-2.12,-1.41
SAGA_For_001070,-0.68,-0.84
SAGA_For_001071,-0.42,-0.39
SAGA_For_001072,-0.77,
SAGA_For_001072,-0.59,-0.79
SAGA_For_001073,-0.8,-1.51
SAGA_For_001074,-1.66,
SAGA_For_001074,-1.45,-1.4
SAGA_For_001074,-1.65,
SAGA_For_001075,-0.21,-0.16
SAGA_For_001077,-0.61,-0.85
SAGA_For_001078,-1.05,
SAGA_For_001078,-0.78,-1.06
SAGA_For_001078,-1.04,
SAGA_For_001080,-0.8,
SAGA_For_001080,-0.57,-0.57
SAGA_For_001083,-0.78,-1.25
SAGA_For_001084,-1.06,-1.28
SAGA_For_001085,-1.55,-1.57
SAGA_For_001086,-0.92,-1.28
SAGA_For_001087,-0.69,
SAGA_For_001087,-0.5,-1.01
SAGA_For_001088,-0.93,-1.67
SAGA_For_001089,-0.83,-1.19
SAGA_For_001090,-1.02,
SAGA_For_001090,-0.79,-0.56
SAGA_For_001091,-1.09,
SAGA_For_001091,,
SAGA_For_001091,-0.9,-1.46
SAGA_For_001091,-1.09,
SAGA_For_001092,-0.95,
SAGA_For_001092,-0.78,-1.03
SAGA_For_001093,-0.61,-0.72
SAGA_For_001093,-0.44,-1.1
SAGA_For_001094,-0.59,-0.55
SAGA_For_001095,-0.61,-0.83
SAGA_For_001096,-0.72,-0.85
SAGA_For_001097,-0.72,-0.51
SAGA_For_001098,-0.88,-0.85
SAGA_For_001099,-1.19,
SAGA_For_001099,-0.98,-1.06
SAGA_For_001101,-0.76,-0.76
SAGA_For_001102,-0.62,-0.84
SAGA_For_001103,-0.58,-0.88
SAGA_For_001104,-1.59,-1.24
SAGA_For_001105,-0.61,-0.33
SAGA_For_001106,-0.89,-0.74
SAGA_For_001107,-1,
SAGA_For_001107,-0.74,-1
SAGA_For_001109,-0.76,-0.31
SAGA_For_001110,-1.02,-0.24
SAGA_For_001111,-0.42,-0.4
SAGA_For_001112,-0.59,
SAGA_For_001112,-0.37,-0.42
SAGA_For_001113,-1.34,-0.92
SAGA_For_001114,-0.54,-1.15
SAGA_For_001115,-1.06,
SAGA_For_001115,-0.83,-1.12
SAGA_For_001115,-1.05,
SAGA_For_001116,-1.01,-1.43
SAGA_For_001117,-0.56,-0.66
SAGA_For_001118,-1.19,
SAGA_For_001118,-0.98,-0.65
SAGA_For_001119,-0.67,-1.11
SAGA_For_001120,-0.71,-0.76
SAGA_For_001121,-0.7,-0.67
SAGA_For_001122,-1.17,
SAGA_For_001122,-0.93,-0.89
SAGA_For_001124,-0.66,-0.52
SAGA_For_001125,-0.47,-0.73
SAGA_For_001126,-0.65,
SAGA_For_001126,-0.4,0.22
SAGA_For_001127,-1.02,
SAGA_For_001127,-0.81,-1.42
SAGA_For_001128,-1.74,-0.71
SAGA_For_001129,-0.73,-0.73
SAGA_For_001132,-0.77,
SAGA_For_001132,-0.65,-1.41
SAGA_For_001133,-0.53,-0.84
SAGA_For_001134,-0.81,-0.56
SAGA_For_001135,-0.85,-1.26
SAGA_For_001137,-0.84,-1.17
SAGA_For_001138,-0.8,-1.47
SAGA_For_001140,-0.86,-1
SAGA_For_001141,-0.48,-0.62
SAGA_For_001142,-0.82,
SAGA_For_001142,-0.73,
SAGA_For_001142,-0.56,-0.94
SAGA_For_001142,-0.81,
SAGA_For_001143,-0.87,-0.54
SAGA_For_001145,-1.24,-1.36
SAGA_For_001147,-1.23,
SAGA_For_001147,-1.03,-0.91
SAGA_For_001148,-0.93,-1.08
SAGA_For_001150,-0.45,-0.6
SAGA_For_001151,-0.74,
SAGA_For_001151,-0.59,-0.32
SAGA_For_001153,-1.11,
SAGA_For_001153,-1.05,-0.28
SAGA_For_001154,-0.88,-0.98
SAGA_For_001155,-1.78,-2.21
SAGA_For_001156,-0.33,-0.3
SAGA_For_001157,-0.76,-1.02
SAGA_For_001158,-0.67,-0.49
SAGA_For_001159,-0.97,-1.03
SAGA_For_001160,-0.85,-0.88
SAGA_For_001162,-1.08,
SAGA_For_001162,-0.84,-1.1
SAGA_For_001163,-1.17,-0.75
SAGA_For_001164,-0.93,-1.15
SAGA_For_001165,-0.11,-0.8
SAGA_For_001166,-0.88,-1.13
SAGA_For_001168,-0.91,-1.71
SAGA_For_001169,-1.08,
SAGA_For_001169,-0.87,-1.14
SAGA_For_001170,-0.81,-0.35
SAGA_For_001171,-1.16,-1.76
SAGA_For_001172,-1.35,-1.98
SAGA_For_001173,-0.9,
SAGA_For_001173,-0.76,-1.06
SAGA_For_001173,-0.62,-1.03
SAGA_For_001173,-0.89,
SAGA_For_001176,-0.5,-0.61
SAGA_For_001177,-0.7,-0.74
SAGA_For_001177,-0.49,-1.07
SAGA_For_001178,-1.14,-0.5
SAGA_For_001179,-1.1,-1.39
SAGA_For_001180,-0.95,-0.56
SAGA_For_001181,-0.76,0.24
SAGA_For_001182,-0.85,-1.07
SAGA_For_001183,-1.04,
SAGA_For_001183,-0.88,-0.69
SAGA_For_001184,-1.2,
SAGA_For_001184,-0.98,-0.93
SAGA_For_001185,-1.07,-1.32
SAGA_For_001186,-1.12,
SAGA_For_001186,-0.83,-1
SAGA_For_001186,-0.88,-1.17
SAGA_For_001187,-0.78,-1.26
SAGA_For_001188,-0.42,-0.39
SAGA_For_001191,-0.71,-0.85
SAGA_For_001193,-0.86,-1.02
SAGA_For_001194,-0.53,0.16
SAGA_For_001195,-0.67,-0.25
SAGA_For_001196,-0.95,-1.52
SAGA_For_001197,-0.93,-0.62
SAGA_For_001198,-1.35,-2.11
SAGA_For_001200,-0.7,-0.76
SAGA_For_001201,-0.56,
SAGA_For_001201,-0.44,-1.36
SAGA_For_001202,-0.92,-1.25
SAGA_For_001203,-1.14,-1.39
SAGA_For_001205,-0.6,-0.87
SAGA_For_001206,-0.59,0.02
SAGA_For_001208,-0.72,0.2
SAGA_For_001210,-0.5,0.27
SAGA_For_001211,-1.45,-0.52
SAGA_For_001212,-0.69,-0.99
SAGA_For_001213,-0.8,
SAGA_For_001213,-0.59,-0.64
SAGA_For_001214,-0.81,-1.14
SAGA_For_001214,-0.95,-1.13
SAGA_For_001215,-1.18,-1.2
SAGA_For_001216,-0.94,-1.15
SAGA_For_001217,-0.39,-0.59
SAGA_For_001218,-1.11,
SAGA_For_001218,-0.84,-1.22
SAGA_For_001219,-0.24,-0.73
SAGA_For_001220,-0.73,-0.08
SAGA_For_001221,-0.83,-1.18
SAGA_For_001223,-0.76,-0.85
SAGA_For_001224,-1.13,
SAGA_For_001224,-1.03,-1.41
SAGA_For_001225,-1.06,-1.38
SAGA_For_001226,-1.02,-0.92
SAGA_For_001227,-1.22,
SAGA_For_001227,-1.01,-1.01
SAGA_For_001228,-0.84,
SAGA_For_001228,-0.62,-0.75
SAGA_For_001229,-0.68,0.06
SAGA_For_001230,-1.19,
SAGA_For_001230,-0.99,-1.38
SAGA_For_001231,-0.71,-0.53
SAGA_For_001234,-0.52,-0.57
SAGA_For_001235,-0.97,-1.08
SAGA_For_001236,-0.99,-1.14
SAGA_For_001238,-0.95,
SAGA_For_001238,-0.75,-0.8
SAGA_For_001238,-0.94,
SAGA_For_001239,-0.86,-1.12
SAGA_For_001240,-0.91,-1.56
SAGA_For_001241,-0.78,
SAGA_For_001241,-0.54,-0.77
SAGA_For_001244,-1.21,
SAGA_For_001244,-1.03,-0.88
SAGA_For_001245,-0.95,-0.39
SAGA_For_001248,-1.18,
SAGA_For_001248,-0.97,-1.11
SAGA_For_001249,-0.62,-0.25
SAGA_For_001250,-1.16,-1.5
SAGA_For_001251,-0.99,-1.46
SAGA_For_001252,-1.25,-1
SAGA_For_001253,-1.05,
SAGA_For_001253,-0.86,-1.67
SAGA_For_001254,-1.21,
SAGA_For_001254,-0.97,-1.48
SAGA_For_001255,-1.95,-2.35
SAGA_For_001256,-0.56,-0.32
SAGA_For_001257,-0.69,-1.14
SAGA_For_001258,-0.73,-0.91
SAGA_For_001259,-0.79,
SAGA_For_001259,-0.54,-0.59
SAGA_For_001260,-0.87,-0.08
SAGA_For_001261,-0.51,0.04
SAGA_For_001262,-0.73,-0.64
SAGA_For_001263,-1.35,-1.1
SAGA_For_001264,-0.62,-0.98
SAGA_For_001266,-1.01,-1.17
SAGA_For_001267,-0.98,-1.12
SAGA_For_001268,-0.93,-0.78
SAGA_For_001271,-1.31,-1.09
SAGA_For_001272,-1.22,
SAGA_For_001272,-1.01,-0.7
SAGA_For_001273,-0.84,-0.69
SAGA_For_001275,-0.58,-0.51
SAGA_For_001276,-0.57,-0.74
SAGA_For_001277,-0.85,-0.88
SAGA_For_001278,-1.58,
SAGA_For_001278,-1.35,-1.22
SAGA_For_001279,-0.92,-1.38
SAGA_For_001280,-1.14,
SAGA_For_001280,-0.88,-1.04
SAGA_For_001280,-1.14,
SAGA_For_001281,-0.42,-1.11
SAGA_For_001282,-0.9,
SAGA_For_001282,-0.67,-0.72
SAGA_For_001283,-1,-1.02
SAGA_For_001284,-0.71,-0.78
SAGA_For_001285,-0.81,-1.17
SAGA_For_001286,-0.81,-1.03
SAGA_For_001287,-1.09,-0.35
SAGA_For_001288,-0.84,
SAGA_For_001288,-0.62,-0.53
SAGA_For_001289,-0.52,-0.75
SAGA_For_001290,-0.89,-1.06
SAGA_For_001291,-1.03,-1.62
SAGA_For_001292,-0.81,-1.16
SAGA_For_001293,-2.19,-1.81
SAGA_For_001295,-0.87,-1.24
SAGA_For_001296,-1.69,
SAGA_For_001296,-1.5,-2.13
SAGA_For_001297,-1.12,-1.63
SAGA_For_001298,-0.96,-1.75
SAGA_For_001299,-0.92,-1.33
SAGA_For_001300,-1.11,-1.97
SAGA_For_001301,-1.02,
SAGA_For_001301,-0.79,-0.74
SAGA_For_001302,-0.88,-1.11
SAGA_For_001303,-1.06,-0.15
SAGA_For_001304,-1.12,-1.08
SAGA_For_001305,-0.84,-0.93
SAGA_For_001306,-0.96,
SAGA_For_001306,-0.74,-1.28
SAGA_For_001307,-0.92,-1.08
SAGA_For_001308,-1.1,-0.77
SAGA_For_001309,-1.5,
SAGA_For_001309,-1.31,-1.26
SAGA_For_001310,-0.42,-0.61
SAGA_For_001313,-0.83,-0.66
SAGA_For_001314,-1.13,-1.89
SAGA_For_001315,-1.48,-0.8
SAGA_For_001316,-0.83,
SAGA_For_001316,-0.6,-0.51
SAGA_For_001317,-1.07,
SAGA_For_001317,-0.88,-0.98
SAGA_For_001318,-1.09,-1.4
SAGA_For_001319,-0.87,-1.61
SAGA_For_001320,-0.9,-0.79
SAGA_For_001321,-2.5,-1.68
SAGA_For_001322,-1.24,
SAGA_For_001322,-0.99,-1.16
SAGA_For_001323,-0.96,-1.14
SAGA_For_001324,-0.8,-1.45
SAGA_For_001325,-1.11,-0.82
SAGA_For_001327,-0.58,-0.56
SAGA_For_001328,,
SAGA_For_001328,-0.89,-1.56
SAGA_For_001329,-0.6,-0.96
SAGA_For_001330,-0.97,-0.88
SAGA_For_001331,-0.96,
SAGA_For_001331,-0.74,-1.41
SAGA_For_001333,-1.42,-2.33
SAGA_For_001334,-1,-1.21
SAGA_For_001335,-0.55,-0.91
SAGA_For_001338,-0.75,-0.91
SAGA_For_001339,-1.06,-1.02
SAGA_For_001340,-0.58,-0.77
SAGA_For_001341,-0.92,
SAGA_For_001341,-0.71,-0.34
SAGA_For_001341,-0.91,
